id,annotation
KAF0033153.1,hypothetical protein F2P81_015443
WP_108871015.1,DUF4282 domain-containing protein
MBT5548873.1,hypothetical protein
TMM12863.1,DUF1345 domain-containing protein
WP_219346741.1,hypothetical protein
WP_203657143.1,hypothetical protein
WP_203657143.1,hypothetical protein
MAG38532.1,hypothetical protein
WP_198737766.1,hypothetical protein
MBO6255288.1,hypothetical protein
SED38629.1,interleukin-1 receptor-associated kinase 3
XP_013753108.1,hypothetical protein AMSG_10928
WP_013774344.1,tail protein
HIQ88959.1,hypothetical protein
HIQ88959.1,hypothetical protein
HIQ88959.1,hypothetical protein
MBP5431065.1,hypothetical protein
NET59867.1,hypothetical protein
WP_141186723.1,SPFH domain-containing protein
KPM36741.1,hypothetical protein AK830_g9816
KZV84681.1,hypothetical protein EXIGLDRAFT_279313
MCE2855516.1,DivIVA domain-containing protein
XP_033759582.1,uncharacterized protein LOC117341829
WP_023484978.1,tape measure protein
WP_023484978.1,tape measure protein
XP_041314053.1,apolipoprotein A-IV
RZK25967.1,hypothetical protein EOO43_04160
HDY62249.1,DUF1640 domain-containing protein
WP_183225099.1,hypothetical protein
CEP22508.1,unnamed protein product
XP_013258867.1,hypothetical protein A1O9_07858
MSQ73606.1,NAD-dependent epimerase/dehydratase family protein
MCB0386437.1,hypothetical protein
OHB79094.1,hypothetical protein A2V98_04020
MBO7454346.1,ankyrin repeat domain-containing protein
WP_228676663.1,hypothetical protein
XP_041205401.1,uncharacterized protein DEU56DRAFT_819952
WP_240778368.1,hypothetical protein
OGL73605.1,hypothetical protein A3D72_00045
WP_091231997.1,hypothetical protein
WP_204133814.1,hypothetical protein
CAH1239854.1,VPS13D
WP_218223815.1,hypothetical protein
XP_008079659.1,hypothetical protein GLAREA_06054
WP_181343423.1,tape measure protein
MBR3085085.1,hypothetical protein
SNT42288.1,"phage tail tape measure protein, TP901 family, core region"
DAI77777.1,TPA: MAG TPA: minor tail protein
AUI86138.1,hypothetical protein BS333_06915
DAR77228.1,TPA: MAG TPA: tail tape measure protein
WP_213148054.1,hypothetical protein
HIT63389.1,hypothetical protein
HIT63389.1,hypothetical protein
WP_053942344.1,phage tail tape measure protein
WP_053942344.1,phage tail tape measure protein
HCO67602.1,hypothetical protein
OLA94877.1,hypothetical protein BHW64_01685
RIK05698.1,hypothetical protein DCC49_12290
NNE65379.1,hypothetical protein
HIQ16677.1,hypothetical protein
KAF4556688.1,Ankyrin repeat-containing protein 30
XP_011083105.1,late embryogenesis abundant protein 76
KAG2502211.1,hypothetical protein HYH03_000697
XP_042214670.1,myosin-3-like
WP_188538130.1,LPXTG cell wall anchor domain-containing protein
NVN55474.1,hypothetical protein
WP_143747587.1,hypothetical protein
MBD80895.1,hypothetical protein
WP_037544757.1,hypothetical protein
WP_037544757.1,hypothetical protein
AYV99567.1,venom polypeptide
AHJ40087.2,hypothetical protein
HGO02687.1,flagellar assembly protein FliH
MBQ3620660.1,hypothetical protein
WP_126763303.1,hypothetical protein
XP_818794.1,hypothetical protein
TML86824.1,hypothetical protein E6G08_11390
MBO7709267.1,hypothetical protein
WP_222838928.1,tape measure protein
KAG7351681.1,urea transporter
XP_018025278.1,PREDICTED: uncharacterized protein LOC108680872
RCH92349.1,hypothetical protein CU097_007904
CDJ52906.1,"Galactosyltransferase, related, related"
MBO5473586.1,hypothetical protein
CAG4990341.1,unnamed protein product
MBM3658594.1,hypothetical protein
MAX80934.1,hypothetical protein
AQQ69477.1,hypothetical protein Mag101_09290
CAE1260224.1,unnamed protein product
RNF85227.1,hypothetical protein EER27_05505
PIE14327.1,hypothetical protein CSA68_11065
KAF2320531.1,hypothetical protein GH714_028035
WP_218776254.1,phage tail tape measure protein
MCD9904579.1,hypothetical protein
WP_218348387.1,hypothetical protein
WP_238933786.1,GIY-YIG nuclease family protein
MBL9036390.1,hypothetical protein
WP_184261329.1,DEAD/DEAH box helicase
GAQ80300.1,hypothetical protein KFL_000500540
GAQ80300.1,hypothetical protein KFL_000500540
XP_035229131.1,translation initiation factor IF-2-like
WP_119548551.1,DUF5667 domain-containing protein
CAD7844357.1,hypothetical protein
MBF0483938.1,ankyrin repeat domain-containing protein
MBF0483938.1,ankyrin repeat domain-containing protein
KAF5097173.1,hypothetical protein DV451_003935
MBR9804897.1,hypothetical protein
XP_041365530.1,golgin subfamily A member 4-like isoform X1
XP_016098898.1,PREDICTED: cell wall protein IFF6-like isoform X6
MBR1584428.1,hypothetical protein
MBQ3404907.1,hypothetical protein
MBF0220813.1,hypothetical protein
PIS35247.1,hypothetical protein COT36_03370
MBQ2349356.1,hypothetical protein
KOO25307.1,traf3-interacting protein 1
EEA82141.1,hypothetical protein CLONEX_01986
KYH43969.1,hypothetical protein AZH51_04270
MBI3873002.1,hypothetical protein
KJE94456.1,hypothetical protein CAOG_009819
WP_203842319.1,hypothetical protein
ORY01585.1,hypothetical protein BCR34DRAFT_91689
MBN8428532.1,hypothetical protein
TID24509.1,lytic polysaccharide monooxygenase
KAG1707772.1,hypothetical protein GQR58_003419
KAH3727076.1,hypothetical protein DPMN_053002
XP_020029154.1,ankyrin repeat domain-containing protein 11 isoform X1
WP_201335162.1,MULTISPECIES: tape measure protein
MBQ9402282.1,hypothetical protein
ORX49711.1,hypothetical protein BCR36DRAFT_412681
OQB40385.1,hypothetical protein BWY04_01356
WP_168245565.1,hypothetical protein
WP_147657031.1,LPXTG cell wall anchor domain-containing protein
WP_147657031.1,LPXTG cell wall anchor domain-containing protein
KAG8560998.1,hypothetical protein GDO81_015207
MBY0358391.1,hypothetical protein
WP_091275813.1,phage tail tape measure protein
XP_041039920.1,aryl hydrocarbon receptor-like
MBR2550735.1,CAP domain-containing protein
MBR3330398.1,hypothetical protein
MBE6666817.1,hypothetical protein
MBE6666817.1,hypothetical protein
DAE82379.1,TPA: MAG TPA: tail tape measure
RXM96499.1,Protein phosphatase 1 regulatory subunit 7
WP_063175246.1,hypothetical protein
MBI4375314.1,ankyrin repeat domain-containing protein
CAE1275567.1,unnamed protein product
MBI3114682.1,hypothetical protein
XP_047001240.1,proline-rich extensin-like protein EPR1
XP_047001240.1,proline-rich extensin-like protein EPR1
KFY94204.1,hypothetical protein V500_03373
NFB32655.1,phage tail tape measure protein
NFB32655.1,phage tail tape measure protein
MAZ38941.1,hypothetical protein
XP_028316141.1,microtubule-associated tumor suppressor 1 isoform X1
CAH0373697.1,unnamed protein product
KAF8359618.1,tbc-10
KAF8437392.1,hypothetical protein BGX38DRAFT_1273965
XP_045595728.1,putative uncharacterized protein DDB_G0271606
WP_173102653.1,YtxH domain-containing protein
MBP7704253.1,hypothetical protein
WP_090571603.1,hypothetical protein
MBY0466290.1,hypothetical protein
XP_020435853.1,argonaut-like protein
MBQ4484345.1,hypothetical protein
XP_043714886.1,uncharacterized protein LOC122663265
MBT9847052.1,hypothetical protein
KAA0160293.1,hypothetical protein FNF28_05489
SED46214.1,GtrA-like protein
MBJ7455902.1,hypothetical protein
WP_179015713.1,YtxH domain-containing protein
MBQ3300980.1,GTP-binding protein
MBO7364218.1,hypothetical protein
MBQ8285021.1,hypothetical protein
KAG7285139.1,hypothetical protein NEMBOFW57_009760
MBF2077249.1,ankyrin repeat domain-containing protein
GIL43784.1,hypothetical protein Vafri_1401
WP_077424042.1,tape measure protein
WP_135284782.1,BON domain-containing protein
CCY66562.1,cell division initiation protein
RYZ36318.1,hypothetical protein EOO71_32255
MBT4963942.1,ankyrin repeat domain-containing protein
WP_200683533.1,protein TolA
MBK24778.1,hypothetical protein
XP_045588437.1,bile salt-activated lipase-like
WP_132382845.1,hypothetical protein
MBL8932637.1,hypothetical protein
ORZ34938.1,hypothetical protein BCR44DRAFT_1485694
HEY86964.1,hypothetical protein
XP_022482930.1,hypothetical protein PENARI_c043G06491
WP_025052743.1,hypothetical protein
DAR07181.1,TPA: MAG TPA: minor tail protein
WP_220749855.1,MULTISPECIES: hypothetical protein
XP_028937909.1,protein SON
XP_028937909.1,protein SON
TGZ51000.1,hypothetical protein DBV15_00763
TGZ51000.1,hypothetical protein DBV15_00763
MCD7805446.1,phage tail tape measure protein
RYE28953.1,hypothetical protein EOP48_32990
CAG8552597.1,8566_t:CDS:2
MBP7168017.1,pseudouridine synthase
MCE4620062.1,hypothetical protein
MBO6797209.1,hypothetical protein
MBQ3161822.1,phage tail tape measure protein
KQR04659.1,hypothetical protein ASF71_11580
WP_158210735.1,hypothetical protein
KAF2215101.1,hypothetical protein CERZMDRAFT_120171
XP_043914012.1,extensin-like
RDB17694.1,hypothetical protein Hypma_001191
WP_090303872.1,winged helix-turn-helix transcriptional regulator
ETR68972.1,hypothetical protein OMM_04243
KAH8167586.1,hypothetical protein CIB48_g664
MBM3270747.1,polyprenyl synthetase family protein
KAF3022524.1,hypothetical protein E8E14_012034
TNF56373.1,hypothetical protein EP309_02520
QZI87371.1,exonuclease subunit 2
CAB1331806.1,unnamed protein product
CAB1331806.1,unnamed protein product
CAB1331806.1,unnamed protein product
CAB1331806.1,unnamed protein product
PYQ35529.1,hypothetical protein DMF57_02900
WP_175440501.1,hypothetical protein
KNA17507.1,hypothetical protein SOVF_079230
MCA9053092.1,hypothetical protein
XP_029236093.1,ER to golgi family vesicle transport protein
OWM69311.1,hypothetical protein CDL15_Pgr026464
MBV8868372.1,hypothetical protein
XP_043639638.1,proline-rich extensin-like protein EPR1
MBC7690510.1,Hsp20/alpha crystallin family protein
OMH33750.1,hypothetical protein BGP75_12190
KAF6335437.1,hypothetical protein mPipKuh1_008109
WP_152611761.1,hypothetical protein
XP_022671754.1,serine/threonine-protein kinase 10-like isoform X1
OJV11698.1,hypothetical protein BGO14_10405
GAM85607.1,hypothetical protein ANO11243_036140
PFG50923.1,uncharacterized protein YukE
XP_030438260.1,ankyrin-2-like
KAG7324182.1,hypothetical protein KOW79_012198
WP_235330322.1,hypothetical protein
KXZ48303.1,hypothetical protein GPECTOR_29g78
KXZ48303.1,hypothetical protein GPECTOR_29g78
WP_177165674.1,YtxH domain-containing protein
WP_228234464.1,DUF802 domain-containing protein
CAE1331295.1,unnamed protein product
CAE1331295.1,unnamed protein product
XP_040568363.1,"myosin-2 heavy chain, non muscle-like"
MBR6164026.1,hypothetical protein
MBR6164026.1,hypothetical protein
HHM13126.1,hypothetical protein
XP_035665416.1,flagellar radial spoke protein 2-like
XP_037555885.1,ice-structuring glycoprotein-like
KJX95230.1,hypothetical protein TI39_contig4126g00008
MBR3580386.1,hypothetical protein
ROT83536.1,hypothetical protein C7M84_023287
ROT83536.1,hypothetical protein C7M84_023287
ROT83536.1,hypothetical protein C7M84_023287
ROT83536.1,hypothetical protein C7M84_023287
MBC8019327.1,ankyrin repeat domain-containing protein
WP_131449770.1,hypothetical protein
WP_008275063.1,hypothetical protein
XP_022541596.1,extensin-like
DAI27684.1,TPA: MAG TPA: tail tape measure protein
MBR7046583.1,cell division protein ZapA
XP_009314312.1,putative 60S ribosomal protein L7a
QOP65145.1,tape measure protein
AKL98448.1,hypothetical protein Epro_1069
XP_044716387.1,multicopper oxidase domain-containing protein
WP_201444920.1,hypothetical protein
XP_017489690.1,PREDICTED: sin3 histone deacetylase corepressor complex component SDS3-like
XP_020789089.1,DNA-directed RNA polymerase II subunit RPB1
XP_020789089.1,DNA-directed RNA polymerase II subunit RPB1
RIR60085.1,hypothetical protein D2E61_08145
WP_190718321.1,hypothetical protein
KAI0215097.1,hypothetical protein LSAT2_032875
MBI4179814.1,FecR domain-containing protein
MBX3081438.1,hypothetical protein
XP_037674291.1,paralemmin-3
KAF7587642.1,hypothetical protein BBP40_006897
WP_144498265.1,phage tail tape measure protein
WP_223722642.1,MULTISPECIES: hypothetical protein
XP_029851333.3,probable DNA double-strand break repair Rad50 ATPase
MBV9314664.1,hypothetical protein
MBR3893655.1,hypothetical protein
WP_159225199.1,tape measure protein
KKQ31565.1,hypothetical protein US45_C0042G0003
KAI1303132.1,hypothetical protein HDE_02264
WP_019009008.1,hypothetical protein
XP_038657083.1,mediator of RNA polymerase II transcription subunit 12-like
RYE77295.1,hypothetical protein EOO80_11095
WP_139377027.1,hypothetical protein
ODM17761.1,hypothetical protein SI65_06549
MBD9062098.1,hypothetical protein
WP_027843500.1,hypothetical protein
KAB0390499.1,hypothetical protein E2I00_017481
WP_159348895.1,DNA recombination protein RmuC
MBO9481791.1,hypothetical protein
XP_047116120.1,uncharacterized protein PF3D7_1120000-like
WP_015556715.1,phage tail tape measure protein
MBF0437702.1,hypothetical protein
GIY51361.1,hypothetical protein CDAR_69691
AJR06184.1,hypothetical protein H744_1c1159
CAH0549756.1,unnamed protein product
CAG9982939.1,unnamed protein product
MBW7860559.1,ankyrin repeat domain-containing protein
NLW28922.1,hypothetical protein
WP_067148721.1,hypothetical protein
WP_067148721.1,hypothetical protein
MBQ3603951.1,phage tail tape measure protein
MCC7022938.1,hypothetical protein
WP_156121897.1,leucine-rich repeat domain-containing protein
XP_030829505.1,glutamic acid-rich protein-like
WP_015168543.1,hypothetical protein
TQJ86372.1,cell wall-associated NlpC family hydrolase
MBR7009102.1,DivIVA domain-containing protein
XP_032626416.1,apolipoprotein A-IV-like isoform X3
MBN6890082.1,tape measure protein
KAG5509481.1,hypothetical protein JKF63_06792
NBW57534.1,DEAD/DEAH box helicase
WP_214193841.1,phage tail tape measure protein
CAH1795358.1,unnamed protein product
MBD5457325.1,hypothetical protein
WP_111879015.1,type III secretion system stator protein SctL
MBD5550085.1,hypothetical protein
CAF1587108.1,unnamed protein product
PLY10022.1,hypothetical protein C0626_07010
WP_102365329.1,peptidylprolyl isomerase
KAF9583117.1,hypothetical protein BGW38_010212
MCB0429853.1,AHH domain-containing protein
MBQ8262589.1,hypothetical protein
DAF89548.1,TPA: MAG TPA: tail tape measure protein
WP_055144094.1,hypothetical protein
WP_135504765.1,hypothetical protein
XP_045602685.1,cell surface glycoprotein 1-like isoform X2
WP_069165465.1,phage tail tape measure protein
CAE1287691.1,unnamed protein product
XP_045967050.1,uncharacterized protein LAJ45_10223
XP_045967050.1,uncharacterized protein LAJ45_10223
WP_052077134.1,tape measure protein
DAM96985.1,TPA: MAG TPA: tail tape measure
XP_044742298.1,uncharacterized protein DDB_G0287625-like
XP_044742298.1,uncharacterized protein DDB_G0287625-like
DAG18035.1,TPA: MAG TPA: minor tail protein
XP_016285142.1,PREDICTED: LOW QUALITY PROTEIN: pericentrin
KGG30358.1,hypothetical protein EV13_0378
KAF6738492.1,hypothetical protein FQA47_015548
WP_176250093.1,hypothetical protein
WP_166254943.1,hypothetical protein
XP_013073151.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
XP_013073151.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
XP_013073151.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
XP_013073151.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
XP_013073151.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like
WP_015505236.1,hypothetical protein
WP_210944491.1,phage tail tape measure protein
NLI05383.1,phage tail tape measure protein
MBO7082056.1,hypothetical protein
MBQ9062724.1,hypothetical protein
MBX6722576.1,hypothetical protein
MBP7029491.1,hypothetical protein
MBP7029491.1,hypothetical protein
MBP7029491.1,hypothetical protein
MBP7029491.1,hypothetical protein
XP_042757384.1,disease resistance protein RPV1
MCE9554143.1,hypothetical protein
XP_037967044.1,probable serine/threonine-protein kinase kinX isoform X2
DAF70055.1,TPA: MAG TPA: tail tape measure
KAH7060983.1,ankyrin repeat-containing domain protein
KAG4093132.1,hypothetical protein H8356DRAFT_949367
CAC5387263.1,unnamed protein product
CAE1279965.1,unnamed protein product
KAE9549752.1,hypothetical protein FO519_007042
QMP84402.1,hypothetical protein HUN42_00024
KAH9515286.1,hypothetical protein Btru_014078
HHH35332.1,hypothetical protein
NCB82045.1,hypothetical protein
WP_206810104.1,hypothetical protein
QTE68110.1,hypothetical protein JNO48_13105
XP_044259480.1,microtubule-associated protein futsch
MBU1705436.1,hypothetical protein
TAQ86453.1,hypothetical protein B7494_g5209
DAH21938.1,TPA: MAG TPA: hypothetical protein
MBQ1669915.1,hypothetical protein
KAH7513549.1,hypothetical protein FEM48_Zijuj12G0212000
GFF72285.1,flotillin-like protein 1
MTQ41179.1,hypothetical protein
WP_063455146.1,YtxH domain-containing protein
MBD5138735.1,helix-turn-helix domain-containing protein
MCA1684113.1,DUF3618 domain-containing protein
NCO74609.1,methyltransferase domain-containing proteinNCO7715
HIX20259.1,ankyrin repeat domain-containing protein
WP_045969398.1,hypothetical protein
UJA20713.1,hypothetical protein HJD18_11170
WP_128741876.1,hypothetical protein
VDN84476.1,unnamed protein product
DAY63644.1,TPA: MAG TPA: minor tail protein
DAY63644.1,TPA: MAG TPA: minor tail protein
MBQ9002186.1,phage tail tape measure protein
RMC22949.1,hypothetical protein DUI87_00047
RMC22949.1,hypothetical protein DUI87_00047
XP_035344588.1,uncharacterized protein TRUGW13939_05532
PVZ99966.1,hypothetical protein BB558_004000
WP_185258464.1,hypothetical protein
TXH04832.1,hypothetical protein E6R07_06990
EFX82065.1,hypothetical protein DAPPUDRAFT_316591
WP_007098426.1,hypothetical protein
ULJ63268.1,hypothetical protein MIS46_04255
WP_236957266.1,hypothetical protein
KAG0044975.1,hypothetical protein BGZ83_009751
KAG0044975.1,hypothetical protein BGZ83_009751
XP_009311503.1,hypothetical protein DQ04_03961010
NRA46538.1,hypothetical protein
KKZ10988.1,hypothetical protein TE42_08955
XP_045583957.1,proteoglycan 4-like
MCA1716967.1,hypothetical protein
MCD6599482.1,hypothetical protein
KAF9166092.1,hypothetical protein BGX20_000338
HHT15197.1,hypothetical protein
KAF9794357.1,hypothetical protein SFRURICE_014577
TAH19290.1,hypothetical protein EAZ08_08965
MAZ36885.1,hypothetical protein
MBQ5887218.1,translation initiation factor IF-2 N-terminal domain-containing protein
KAF1983994.1,hypothetical protein K402DRAFT_153864
MBQ6251425.1,hypothetical protein
KAE9586756.1,hypothetical protein Lalb_Chr23g0266581
KAF2489883.1,hypothetical protein BU16DRAFT_166735
KAF8206590.1,hypothetical protein K438DRAFT_1962927
EJK64853.1,hypothetical protein THAOC_14369
MBI4260002.1,hypothetical protein
KAF4792228.1,hypothetical protein TURU_123192
GBG00295.1,hypothetical protein Rsub_13047
MBI3680168.1,hypothetical protein
GHP02928.1,hypothetical protein PPROV_000168300
MBM3677910.1,antitoxin
MBQ6675392.1,hypothetical protein
NLU39850.1,DUF2130 domain-containing protein
MBM4302396.1,hypothetical protein
GFI12926.1,hypothetical protein IMSAGC008_00453
NJD52773.1,hypothetical protein
TAL19290.1,hypothetical protein EPN90_03935
CAD5213314.1,unnamed protein product
WP_242515767.1,hypothetical protein
MCD6247134.1,hypothetical protein
WP_007318195.1,DoxX family protein
HIN39090.1,hypothetical protein
SGZ56478.1,CIC11C00000005587
MBV9287387.1,hypothetical protein
XP_043481645.1,serine/arginine-rich splicing factor 4-like
GCB45211.1,hypothetical protein SNL152K_2501
WP_050696611.1,tape measure protein
WP_191017958.1,hypothetical protein
WP_191017958.1,hypothetical protein
MBS3811447.1,endonuclease MutS2
WP_075891222.1,tape measure protein
WP_075891222.1,tape measure protein
WP_203286064.1,DUF3618 domain-containing protein
WP_203286064.1,DUF3618 domain-containing protein
GFR01542.1,mesoderm induction early response protein 1
WP_185041224.1,DUF3618 domain-containing protein
WP_127112366.1,hypothetical protein
MBL9101748.1,hypothetical protein
EGW00147.1,hypothetical protein I79_024516
CAD5233085.1,unnamed protein product
KAF2155499.1,hypothetical protein K461DRAFT_290527
MBL7200022.1,DUF4157 domain-containing protein
WP_027724619.1,phage tail tape measure protein
WP_027724619.1,phage tail tape measure protein
XP_028324531.1,ankyrin repeat domain-containing protein 1-like isoform X2
DAV53141.1,TPA: MAG TPA: minor tail protein
WP_229943701.1,hypothetical protein
WP_056289242.1,hypothetical protein
OQO29249.1,hypothetical protein B0A51_05463
WP_085799038.1,hypothetical protein
MBR3598636.1,hypothetical protein
KAI1195277.1,ARM repeat-containing protein
KAG0372255.1,hypothetical protein BGX24_000496
WP_177206044.1,hypothetical protein
NUS73341.1,hypothetical protein
KAH9814078.1,hypothetical protein DFH28DRAFT_929168
TML02249.1,hypothetical protein E6G40_00960
WP_016668899.1,hypothetical protein
WP_135978246.1,hypothetical protein
MCF6282948.1,hypothetical protein
XP_021567008.1,uncharacterized protein C2orf71 homolog
KAF7857504.1,hypothetical protein EAF03_009212
KAH3726064.1,hypothetical protein DPMN_051920
MBN9662870.1,hypothetical protein
MBC7452108.1,ankyrin repeat domain-containing protein
NLW69967.1,hypothetical protein
MCA0336100.1,hypothetical protein
PIN08147.1,hypothetical protein CDL12_19282
XP_022314713.1,protein PFC0760c-like
MBQ1434251.1,phage tail tape measure protein
MBQ1434251.1,phage tail tape measure protein
XP_045204000.1,amyloid beta precursor protein binding family B member 2-like isoform X1
MBF0097642.1,hypothetical protein
WP_187783126.1,hypothetical protein
HGH06489.1,hypothetical protein
VDM53208.1,unnamed protein product
VDM53208.1,unnamed protein product
WP_222527421.1,hypothetical protein
MBL7645287.1,ankyrin repeat domain-containing protein
POE97358.1,hypothetical protein CFP56_31050
WP_118730251.1,hypothetical protein
WP_055077273.1,serine/threonine protein kinase
WP_239775177.1,phage tail tape measure protein
OIO04613.1,hypothetical protein AUJ52_14960
KAH6686626.1,hypothetical protein F5X68DRAFT_231971
DAK70361.1,TPA: MAG TPA: tail tape measure protein
WP_114902580.1,hypothetical protein
WP_041756574.1,hypothetical protein
XP_034014136.1,uncharacterized protein DIURU_001113
OGF45145.1,hypothetical protein A2231_03015
GAX81820.1,hypothetical protein CEUSTIGMA_g924
GAX81820.1,hypothetical protein CEUSTIGMA_g924
GAX81820.1,hypothetical protein CEUSTIGMA_g924
GAX81820.1,hypothetical protein CEUSTIGMA_g924
GAX81820.1,hypothetical protein CEUSTIGMA_g924
YP_009796796.1,tape measure protein
YP_009796796.1,tape measure protein
MBR5013454.1,hypothetical protein
WP_095544751.1,leucine-rich repeat protein
MBR2832148.1,hypothetical protein
RZF38312.1,hypothetical protein LSTR_LSTR016255
WP_096898992.1,phage tail tape measure protein
WP_103424939.1,hypothetical protein
MBR1672171.1,hypothetical protein
TVR54915.1,hypothetical protein EA426_15865
TVR54915.1,hypothetical protein EA426_15865
MCB6994069.1,hypothetical protein
MCC6644129.1,VCBS repeat-containing protein
WP_106396466.1,NYN domain-containing protein
WP_207277677.1,phage tail tape measure protein
WP_207277677.1,phage tail tape measure protein
WP_165073321.1,MULTISPECIES: hypothetical protein
TAE72621.1,hypothetical protein EAZ85_09210
MBL4674760.1,DUF4157 domain-containing protein
MBF0997218.1,hypothetical protein
EJY57443.1,AAEL017568-PA
KHN75395.1,Ninein
WP_051748674.1,hypothetical protein
HAV44314.1,phasin family protein
QCG77521.1,tape measure protein
KFY40452.1,hypothetical protein V495_05424
KAG9051311.1,hypothetical protein FS837_009578
MBP5353658.1,signal peptidase I
MBP5353658.1,signal peptidase I
MBZ8007891.1,phage tail tape measure protein
WP_223757589.1,hypothetical protein
WP_156923015.1,ATPase
WP_233466871.1,SUMF1/EgtB/PvdO family nonheme iron enzyme
WP_207458976.1,DUF1640 domain-containing protein
WP_009643477.1,hypothetical protein
WP_046376129.1,hypothetical protein
WP_222672591.1,phage tail tape measure protein
KST76850.1,amino acid adenylation domain
DAM76370.1,TPA: MAG TPA: tail tape measure
WP_016219261.1,DUF2953 domain-containing protein
WP_179969652.1,hypothetical protein
WP_230268207.1,hypothetical protein
XP_037038244.1,GATA zinc finger domain-containing protein 14-like
KAI1104208.1,hypothetical protein F4804DRAFT_201816
KYF43246.1,hypothetical protein TGARI_225860
MCA9556091.1,hypothetical protein
XP_028869394.1,uncharacterized protein BOVATA_046440
XP_028869394.1,uncharacterized protein BOVATA_046440
XP_028869394.1,uncharacterized protein BOVATA_046440
KAH9498407.1,hypothetical protein Btru_008190
KAF9962799.1,hypothetical protein BGZ65_007891
WP_223199459.1,cupredoxin family copper-binding protein
YP_009012617.1,tape measure protein
WP_189057852.1,four-helix bundle copper-binding protein
SPL87393.1,unnamed protein product
MBL8990869.1,ankyrin repeat domain-containing protein
WP_063875419.1,hypothetical protein
KAH3847513.1,hypothetical protein DPMN_089838
WP_127544558.1,hypothetical protein
MCB9736707.1,hypothetical protein
WP_195718762.1,hypothetical protein
AUV61427.1,tape measure
MBY9008745.1,HEAT repeat domain-containing protein
OXM65321.1,hypothetical protein CF165_23615
WP_156759563.1,hypothetical protein
RMG82107.1,hypothetical protein D6712_15225
XP_007508738.1,predicted protein
WP_220015051.1,hypothetical protein
OHB43965.1,hypothetical protein A2Y13_06895
TKR68576.1,hypothetical protein L596_024540
MBS0264077.1,HEAT repeat domain-containing protein
KAG9481677.1,hypothetical protein GDO78_010750
KAG9481677.1,hypothetical protein GDO78_010750
WP_126196675.1,acyl-CoA desaturase
WP_043799723.1,hypothetical protein
RSL88943.1,hypothetical protein CEP51_001502
MBW3659401.1,hypothetical protein
MBW3659401.1,hypothetical protein
MBW3659401.1,hypothetical protein
KAG8529998.1,hypothetical protein KY384_005480
MBI5163423.1,peptidoglycan DD-metalloendopeptidase family protein
PIK52986.1,hypothetical protein BSL78_10140
MBI1344697.1,hypothetical protein
WP_030482927.1,hypothetical protein
YP_007676286.1,hypothetical protein MPVG_00222
OXB56277.1,hypothetical protein ASZ78_011428
MBD5312427.1,hypothetical protein
KAF2398937.1,hypothetical protein EJ06DRAFT_558093
XP_026847183.1,protein Cep78 homolog isoform X1
MBR0443460.1,hypothetical protein
XP_032385445.1,partitioning defective 3 homolog B-like isoform X1
MBR7021450.1,hypothetical protein
XP_045602691.1,proline-rich extensin-like protein EPR1
BAL53784.1,dextran-binding lectin B
BAL53784.1,dextran-binding lectin B
WP_052447239.1,hypothetical protein
MBT3347881.1,ankyrin repeat domain-containing protein
WP_217585773.1,MotA/TolQ/ExbB proton channel family protein
WP_023987548.1,hypothetical protein
XP_028869435.1,uncharacterized protein BOVATA_046850
XP_028869435.1,uncharacterized protein BOVATA_046850
XP_028869435.1,uncharacterized protein BOVATA_046850
KAI0272290.1,ankyrin repeat-containing domain protein
KAI0272290.1,ankyrin repeat-containing domain protein
WP_147307735.1,hypothetical protein
WP_147307735.1,hypothetical protein
WP_170175284.1,DUF4041 domain-containing protein
MBP0984033.1,DUF4157 domain-containing protein
KAE8381416.1,hypothetical protein BDV26DRAFT_255542
KFO26001.1,"Acyl-CoA dehydrogenase family member 9, mitochondrial"
WP_238059369.1,tape measure protein
ALA06391.1,tail tape measure protein
XP_025353665.1,uncharacterized protein FA14DRAFT_161255
KAF2449735.1,hypothetical protein P171DRAFT_517390
WP_015173191.1,ankyrin repeat domain-containing protein
WP_015173191.1,ankyrin repeat domain-containing protein
KAH6583576.1,hypothetical protein BASA60_001384
KAF6201639.1,hypothetical protein
KAF6024851.1,hypothetical protein EB796_016838
RCN35176.1,hypothetical protein ANCCAN_18971
KAG8258005.1,hypothetical protein J6590_038129
MBL6622005.1,ankyrin repeat domain-containing protein
XP_025365731.1,hypothetical protein BDZ90DRAFT_230114
CAG2234299.1,unnamed protein product
WP_185565152.1,hypothetical protein
KAF3699634.1,"Carnitine O-palmitoyltransferase 1, liver isoform"
WP_051253529.1,YtxH domain-containing protein
XP_022861366.1,heterogeneous nuclear ribonucleoprotein A3 homolog 1-like isoform X1
KAI0635395.1,hypothetical protein C8Q77DRAFT_1156690
KAG4069872.1,hypothetical protein HA402_009579
WP_139173333.1,hypothetical protein
TNN22818.1,Long-chain-fatty-acid--CoA ligase 5
XP_026684927.1,neurofilament heavy polypeptide-like
WP_072521653.1,hypothetical protein
